Issue Type,Summary,Description,Priority,Story Points,Epic Name,Epic Link
Epic,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA),"Fluxo por conversa com briefing minimo, planejamento autonomo, aprovacao unica do plano, execucao por squad, QA com retrabalho por tarefa e publicacao automatica. Inclui contexto fixo por cliente (RAG) editavel no painel e aplicado por padrao.",High,,,,
Story,CS-01 - Maquina de estados conversacional do run,"Implementar estados briefing/planning/awaiting_plan_approval/executing/qa_review/publishing/completed/failed/needs_manual_intervention com timeline auditavel e compatibilidade com runs legados.",High,8,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-02 - Endpoint de mensagens do run,"Criar POST /runs/:runId/messages para conversa continua orientada por contexto. Deve coletar briefing minimo dinamico e evoluir para planejamento sem formulario rigido.",High,5,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-03 - Aprovacao unica de planejamento,"Criar POST /runs/:runId/plan-approval com acoes approve e revise. Apenas o plano estrategico exige aprovacao manual.",High,5,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-04 - Planejador autonomo com saida estruturada,"Substituir planning mock por LLM com schema validado, gerando campanhas, pecas, cronograma e orcamento com estrutura consistente.",High,8,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-05 - Persistencia do RAG fixo por cliente,"Criar estrutura de contexto fixo por cliente com campos estruturados e notas. Garantir isolamento por organizacao e trilha de atualizacao.",High,8,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-06 - APIs de contexto do cliente,"Criar GET/PUT /api/clients/:clientId/context com validacao de payload e controle de acesso por organizacao.",High,5,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-07 - Injecao automatica de RAG no fluxo,"Aplicar contexto fixo por padrao nos agentes de briefing, planejamento, criacao e QA em todos os runs conversacionais.",High,5,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-08 - Executor por tarefas planejadas,"Quebrar execucao em tarefas por agente responsavel, com status, entregavel esperado e rastreabilidade por tarefa no run.",High,8,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-09 - Agente QA com retrabalho automatico,"QA valida aderencia ao plano e devolve tarefas com desvio ao agente responsavel. Limite de 2 loops por tarefa; excedeu, marcar needs_manual_intervention.",High,8,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-10 - Publicacao automatica pos-QA,"Publicar em Meta/Google somente apos QA aprovado. Em falha por canal, registrar timeline, erro e DLQ.",High,5,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-11 - UI conversacional no lugar do formulario de runs,"Substituir tela rigida de runs por chat com etapas, card de plano para aprovacao e acompanhamento do progresso de execucao.",High,8,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-12 - UI de Contexto Fixo no detalhe do cliente,"Adicionar secao editavel de contexto fixo na pagina do cliente para cadastrar empresa, produtos, publico, diferenciais, restricoes, ofertas e notas.",High,5,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-13 - Compatibilidade do fluxo legado,"Manter POST /runs legado e historico de runs existentes sem quebra funcional durante a migracao para o modo conversacional.",High,3,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)
Story,CS-14 - Testes E2E e smoke do novo fluxo,"Atualizar testes para cobrir caminho feliz e excecoes: com/sem RAG, QA loop, limite de loop e falha de publicacao.",High,8,,Campaign Squad Conversacional + RAG por Cliente (Planejamento Autonomo + QA)

