Issue Type,Summary,Description,Priority,Labels
Epic,"[EPIC GT-ARCH] Fundacao da V2","Objetivo: criar baseline tecnico da V2 em projeto separado sem impactar o sistema em producao.",High,"gt,v2,epic,arch"
Epic,"[EPIC GT-AUTH] Autenticacao e Sessao","Objetivo: manter Supabase Auth (cloud) e integrar sessao/JWT na V2.",High,"gt,v2,epic,auth"
Epic,"[EPIC GT-DATA] Modelo de Dados e Prisma","Objetivo: modelar dominio core com Prisma em Postgres da VPS.",High,"gt,v2,epic,data"
Epic,"[EPIC GT-MIG] Migracao de Dados","Objetivo: executar migracao de dados (full load + delta) para V2.",High,"gt,v2,epic,migration"
Epic,"[EPIC GT-REPORT] Relatorios e Disparos","Objetivo: reconstruir relatorio diario e disparo em grupos (Papi).",High,"gt,v2,epic,report"
Epic,"[EPIC GT-OPS] Infra e Operacao na VPS","Objetivo: publicar V2 na VPS com observabilidade, backup e restore.",High,"gt,v2,epic,ops"
Epic,"[EPIC GT-QA] Qualidade e Cutover","Objetivo: validar paridade V1 x V2 e executar virada gradual com rollback.",High,"gt,v2,epic,qa"
Story,"[GT-ARCH] V2-1 Criar projeto base V2","Escopo: Next.js + TypeScript + Prisma + Docker Compose para Postgres local. DoD: docker compose up, prisma migrate dev, npm run dev funcionando.",High,"gt,v2,story,arch,sprint-1"
Task,"[GT-ARCH] V2-2 Configurar ambientes e secrets","Escopo: .env.example da V2 com DATABASE_URL, SUPABASE_URL, SUPABASE_ANON_KEY, SUPABASE_JWT_SECRET. DoD: checklist por ambiente (dev/stage/prod).",High,"gt,v2,task,arch,sprint-1"
Story,"[GT-AUTH] V2-3 Integrar Supabase Auth na V2","Escopo: login/logout, leitura de sessao via JWT, guardas de rota privada. DoD: usuario autenticado acessa rotas privadas e anonimo recebe 401/redirect.",High,"gt,v2,story,auth,sprint-1"
Task,"[GT-AUTH] V2-4 Provisionamento no primeiro login","Escopo: criar/atualizar users no Postgres V2 usando auth.users.id como chave primaria. DoD: primeiro login nao duplica usuario.",Medium,"gt,v2,task,auth,sprint-1"
Story,"[GT-DATA] V2-5 Modelagem inicial do dominio core","Escopo: organizations, memberships, clients, meta_connections, campaigns (snapshot inicial). DoD: schema Prisma versionado + migracoes aplicadas.",High,"gt,v2,story,data,sprint-1"
Task,"[GT-DATA] V2-6 Repositorios Prisma para dominio core","Escopo: camada de acesso a dados sem supabase-js para entidades core. DoD: CRUD basico coberto por testes unitarios.",Medium,"gt,v2,task,data,sprint-1"
Story,"[GT-MIG] V2-7 Carga inicial da base atual para V2","Escopo: ETL idempotente de carga completa + relatorio de reconciliacao. DoD: carga executa e contabiliza divergencias.",High,"gt,v2,story,migration"
Story,"[GT-MIG] V2-8 Sincronizacao incremental (delta)","Escopo: sync por timestamp/changelog com retry e logs. DoD: delta roda sem duplicidade e com reconciliacao minima.",High,"gt,v2,story,migration"
Story,"[GT-REPORT] V2-9 Motor de relatorio diario (Meta)","Escopo: consolidar alcance, impressoes, frequencia, CTR, CPM, cliques, CPC, custo por mensagem e investimento. DoD: endpoint retorna mensagem final pronta para disparo.",High,"gt,v2,story,report"
Story,"[GT-REPORT] V2-10 Integracao Papi para envio em grupos","Escopo: client Papi, envio para grupo, logs de envio e erro. DoD: endpoint de teste envia para grupo configurado.",High,"gt,v2,story,report"
Story,"[GT-OPS] V2-11 Deploy V2 na VPS","Escopo: Dockerfile, compose, proxy reverso, healthcheck e variaveis seguras. DoD: V2 acessivel em URL de staging.",High,"gt,v2,story,ops"
Task,"[GT-OPS] V2-12 Backups e restore do Postgres da VPS","Escopo: backup diario automatizado e runbook de restore. DoD: restore testado em homologacao.",High,"gt,v2,task,ops"
Story,"[GT-QA] V2-13 Testes de paridade V1 vs V2","Escopo: comparar KPIs e respostas criticas entre V1 e V2 com tolerancia definida. DoD: relatorio de paridade aprovado.",High,"gt,v2,story,qa"
Story,"[GT-QA] V2-14 Cutover gradual com rollback","Escopo: feature flag por cliente/grupo, rollout progressivo e rollback rapido. DoD: grupo piloto operando na V2 com rollback validado.",High,"gt,v2,story,qa"
